Prob Thresh,Max Pos,Stop Loss,Hold Days,Target/Trail,CAGR,Sharpe,Max DD
0.85,10,-15%,50,25%,6.18%,0.09,-3.95%
0.80,8,-12%,45,15%,6.18%,0.06,-6.38%
0.80,5,-12%,40,12%,6.18%,0.05,-7.75%
0.80,6,-15%,40,12%,6.18%,0.05,-8.52%
0.80,5,-12%,20,20%,6.18%,0.05,-7.99%
0.75,8,-5%,45,15%,6.18%,0.05,-9.91%
0.65,2,-10%,50,20%,6.18%,0.14,-49.54%
0.85,8,-15%,45,30%,6.18%,0.07,-4.98%
0.80,10,-12%,20,20%,6.18%,0.07,-5.28%
0.75,6,-6%,60,25%,6.17%,0.05,-16.08%
0.80,10,-10%,20,25%,6.17%,0.07,-6.48%
0.80,10,-10%,20,30%,6.17%,0.07,-6.48%
0.80,8,-8%,15,35%,6.17%,0.06,-6.04%
0.80,2,-10%,45,15%,6.17%,0.06,-19.85%
0.75,10,-8%,15,12%,6.17%,0.05,-5.48%
0.80,5,-12%,60,20%,6.17%,0.05,-11.45%
0.70,10,-5%,60,12%,6.17%,0.06,-11.87%
0.85,10,-15%,60,20%,6.17%,0.08,-3.95%
0.85,10,-15%,50,20%,6.17%,0.08,-3.95%
0.75,8,-6%,50,15%,6.17%,0.05,-10.95%
0.80,4,-15%,20,35%,6.17%,0.05,-9.60%
0.80,4,-10%,20,12%,6.17%,0.05,-6.44%
0.75,6,-6%,45,12%,6.17%,0.05,-10.74%
0.75,10,-5%,50,25%,6.17%,0.05,-10.64%
0.80,10,-12%,20,15%,6.16%,0.07,-4.65%
0.75,6,-6%,60,15%,6.16%,0.05,-13.45%
0.75,6,-5%,60,12%,6.16%,0.05,-11.75%
0.75,10,-5%,40,15%,6.16%,0.05,-8.39%
0.70,4,-8%,40,20%,6.16%,0.10,-24.71%
0.80,6,-8%,20,20%,6.16%,0.05,-8.58%
0.70,5,-6%,40,20%,6.16%,0.08,-27.98%
0.80,6,-12%,50,15%,6.16%,0.05,-9.75%
0.80,6,-12%,60,15%,6.16%,0.05,-9.75%
0.80,6,-10%,50,15%,6.16%,0.05,-8.76%
0.80,6,-10%,60,15%,6.16%,0.05,-8.76%
0.80,5,-15%,15,35%,6.16%,0.05,-7.24%
0.75,10,-5%,50,30%,6.16%,0.05,-10.51%
0.80,4,-8%,40,12%,6.16%,0.05,-8.98%
0.80,4,-8%,60,12%,6.16%,0.05,-8.98%
0.80,4,-8%,50,12%,6.16%,0.05,-8.98%
0.80,4,-8%,45,12%,6.16%,0.05,-8.98%
0.80,10,-15%,20,25%,6.16%,0.06,-6.83%
0.80,10,-15%,20,30%,6.16%,0.06,-6.83%
0.70,4,-15%,20,25%,6.16%,0.10,-30.71%
0.85,8,-15%,40,15%,6.16%,0.07,-4.98%
0.85,8,-15%,40,12%,6.16%,0.07,-4.98%
0.70,4,-10%,30,30%,6.16%,0.10,-21.59%
0.80,5,-12%,20,15%,6.16%,0.05,-6.78%
0.80,10,-12%,40,12%,6.15%,0.06,-4.15%
0.80,6,-15%,40,15%,6.15%,0.05,-8.52%
0.80,10,-10%,60,20%,6.15%,0.05,-5.91%
0.80,5,-8%,50,20%,6.15%,0.05,-10.15%
0.80,3,-12%,60,25%,6.15%,0.05,-20.68%
0.70,3,-10%,20,25%,6.15%,0.11,-30.28%
0.80,10,-8%,60,25%,6.15%,0.05,-6.81%
0.60,3,-12%,20,35%,6.15%,0.16,-47.40%
0.75,5,-5%,20,15%,6.15%,0.05,-13.80%
0.75,6,-6%,40,12%,6.15%,0.05,-10.31%
0.80,10,-12%,20,12%,6.15%,0.06,-4.15%
0.75,6,-5%,50,15%,6.15%,0.05,-11.75%
0.80,8,-10%,40,12%,6.15%,0.05,-5.36%
0.60,10,-8%,45,20%,6.14%,0.12,-46.36%
0.75,5,-5%,45,30%,6.14%,0.05,-16.57%
0.80,4,-12%,40,15%,6.14%,0.05,-12.40%
0.65,6,-12%,50,20%,6.14%,0.12,-40.36%
0.80,6,-10%,45,12%,6.14%,0.04,-7.07%
0.80,6,-10%,50,12%,6.14%,0.04,-7.07%
0.80,6,-10%,60,12%,6.14%,0.04,-7.07%
0.80,5,-15%,20,25%,6.14%,0.04,-11.02%
0.80,5,-15%,20,30%,6.14%,0.04,-11.02%
0.80,3,-12%,15,35%,6.14%,0.04,-9.73%
0.85,3,-8%,30,30%,6.14%,0.05,-7.96%
0.85,3,-8%,30,35%,6.14%,0.05,-7.96%
0.80,8,-12%,45,12%,6.14%,0.05,-5.16%
0.85,10,-15%,30,12%,6.13%,0.07,-3.95%
0.85,10,-15%,30,15%,6.13%,0.07,-3.95%
0.75,4,-5%,20,15%,6.13%,0.05,-14.15%
0.85,2,-15%,30,20%,6.13%,0.04,-8.73%
0.85,2,-15%,30,30%,6.13%,0.04,-8.73%
0.85,2,-15%,30,35%,6.13%,0.04,-8.73%
0.85,2,-15%,30,25%,6.13%,0.04,-8.73%
0.80,6,-10%,20,20%,6.13%,0.04,-8.89%
0.75,6,-6%,20,20%,6.13%,0.05,-9.11%
0.80,4,-8%,20,15%,6.13%,0.04,-6.98%
0.75,6,-6%,50,12%,6.13%,0.05,-11.28%
0.80,4,-8%,40,20%,6.13%,0.04,-14.44%
0.85,3,-8%,40,35%,6.13%,0.04,-7.96%
0.80,8,-10%,45,15%,6.13%,0.04,-6.57%
0.85,5,-15%,50,15%,6.13%,0.04,-8.03%
0.85,5,-15%,60,12%,6.13%,0.04,-8.03%
0.85,5,-15%,60,15%,6.13%,0.04,-8.03%
0.85,5,-15%,45,15%,6.13%,0.04,-8.03%
0.85,5,-15%,50,12%,6.13%,0.04,-8.03%
0.85,5,-15%,45,12%,6.13%,0.04,-8.03%
0.80,10,-12%,45,15%,6.13%,0.04,-5.13%
0.85,8,-15%,60,25%,6.13%,0.05,-4.98%
0.75,5,-6%,50,15%,6.13%,0.05,-14.82%
0.80,6,-8%,60,12%,6.13%,0.04,-6.75%
0.80,6,-8%,40,12%,6.13%,0.04,-6.75%
0.80,6,-8%,50,12%,6.13%,0.04,-6.75%
0.80,6,-8%,45,12%,6.13%,0.04,-6.75%
0.85,8,-15%,45,35%,6.13%,0.05,-4.98%
0.70,4,-15%,60,15%,6.12%,0.10,-25.15%
0.75,8,-5%,40,15%,6.12%,0.04,-10.63%
0.70,3,-15%,30,15%,6.12%,0.11,-28.43%
0.80,8,-12%,50,12%,6.12%,0.04,-5.16%
0.80,8,-12%,60,12%,6.12%,0.04,-5.16%
0.75,6,-5%,20,15%,6.12%,0.04,-11.37%
0.70,2,-6%,30,35%,6.12%,0.12,-44.47%
0.85,4,-15%,20,20%,6.12%,0.04,-9.66%
0.85,4,-15%,20,25%,6.12%,0.04,-9.66%
0.85,4,-15%,20,35%,6.12%,0.04,-9.66%
0.85,4,-15%,20,30%,6.12%,0.04,-9.66%
0.80,2,-8%,15,30%,6.12%,0.04,-13.11%
0.80,2,-8%,15,25%,6.12%,0.04,-13.11%
0.80,2,-8%,15,20%,6.12%,0.04,-13.11%
0.65,10,-15%,60,12%,6.12%,0.10,-37.29%
0.80,5,-12%,20,12%,6.12%,0.04,-5.81%
0.80,5,-12%,45,15%,6.12%,0.04,-10.29%
0.75,8,-5%,30,25%,6.12%,0.04,-10.19%
0.80,3,-8%,50,25%,6.12%,0.04,-12.73%
0.85,10,-15%,45,30%,6.12%,0.05,-3.95%
0.75,8,-5%,20,15%,6.12%,0.04,-8.44%
0.60,3,-12%,45,12%,6.11%,0.14,-57.33%
0.75,5,-6%,30,15%,6.11%,0.05,-12.78%
0.80,10,-8%,15,35%,6.11%,0.05,-4.86%
0.80,6,-10%,20,15%,6.11%,0.04,-7.88%
0.80,8,-15%,40,12%,6.11%,0.04,-6.47%
0.65,8,-8%,20,20%,6.11%,0.10,-34.77%
0.60,3,-6%,20,25%,6.11%,0.15,-49.70%
0.75,8,-5%,30,30%,6.11%,0.04,-10.17%
0.75,8,-6%,20,20%,6.11%,0.04,-7.97%
0.85,3,-12%,30,30%,6.11%,0.04,-9.25%
0.85,3,-12%,30,35%,6.11%,0.04,-9.25%
0.75,10,-6%,20,20%,6.11%,0.04,-6.83%
0.80,6,-15%,20,20%,6.11%,0.04,-9.48%
0.80,8,-12%,60,15%,6.11%,0.04,-6.85%
0.80,8,-12%,50,15%,6.11%,0.04,-6.85%
0.80,6,-8%,40,20%,6.10%,0.04,-9.43%
0.65,8,-8%,50,20%,6.10%,0.11,-36.52%
0.70,4,-8%,30,20%,6.10%,0.09,-19.34%
0.80,5,-6%,45,30%,6.10%,0.04,-12.35%
0.85,4,-15%,50,30%,6.10%,0.04,-10.04%
0.80,6,-8%,20,15%,6.10%,0.03,-7.57%
0.75,8,-6%,45,15%,6.10%,0.04,-10.93%
0.80,8,-10%,60,15%,6.10%,0.03,-6.57%
0.80,8,-10%,50,15%,6.10%,0.03,-6.57%
0.85,3,-15%,60,15%,6.10%,0.03,-9.36%
0.85,3,-15%,60,12%,6.10%,0.03,-9.36%
0.85,3,-15%,45,15%,6.10%,0.03,-9.36%
0.85,3,-15%,45,12%,6.10%,0.03,-9.36%
0.85,3,-15%,50,12%,6.10%,0.03,-9.36%
0.85,3,-15%,50,15%,6.10%,0.03,-9.36%
0.85,10,-15%,40,12%,6.10%,0.05,-3.95%
0.85,10,-15%,40,15%,6.10%,0.05,-3.95%
0.80,5,-15%,45,12%,6.10%,0.04,-10.12%
0.70,6,-8%,15,20%,6.09%,0.07,-13.42%
0.65,4,-5%,15,30%,6.09%,0.12,-37.30%
0.80,8,-8%,20,20%,6.09%,0.03,-6.52%
0.80,8,-15%,40,15%,6.09%,0.03,-6.47%
0.80,10,-10%,40,12%,6.09%,0.03,-4.31%
0.65,2,-8%,15,35%,6.09%,0.16,-47.61%
0.75,10,-5%,15,20%,6.09%,0.03,-6.03%
0.70,3,-10%,50,25%,6.09%,0.11,-38.62%
0.65,4,-6%,40,20%,6.09%,0.12,-40.69%
0.80,5,-8%,40,15%,6.09%,0.03,-7.79%
0.70,4,-8%,45,20%,6.09%,0.09,-22.18%
0.85,4,-15%,20,12%,6.09%,0.03,-9.66%
0.85,4,-15%,20,15%,6.09%,0.03,-9.66%
0.70,4,-15%,30,25%,6.09%,0.10,-25.81%
0.70,3,-6%,45,30%,6.09%,0.10,-36.90%
0.80,10,-12%,45,12%,6.09%,0.03,-4.15%
0.85,6,-15%,60,12%,6.09%,0.03,-6.68%
0.85,6,-15%,50,15%,6.09%,0.03,-6.68%
0.85,6,-15%,45,15%,6.09%,0.03,-6.68%
0.85,6,-15%,45,12%,6.09%,0.03,-6.68%
0.85,6,-15%,60,15%,6.09%,0.03,-6.68%
0.85,6,-15%,50,12%,6.09%,0.03,-6.68%
0.80,6,-15%,20,15%,6.09%,0.03,-8.46%
0.80,4,-8%,20,12%,6.09%,0.03,-6.98%
0.75,6,-15%,15,12%,6.08%,0.04,-9.23%
0.60,5,-15%,20,25%,6.08%,0.15,-52.74%
0.60,4,-12%,45,15%,6.08%,0.14,-53.22%
0.80,6,-10%,20,12%,6.08%,0.03,-7.07%
0.75,5,-6%,60,15%,6.08%,0.04,-14.82%
0.70,6,-5%,60,15%,6.08%,0.07,-22.59%
0.80,10,-10%,45,15%,6.08%,0.03,-5.29%
0.80,8,-10%,50,12%,6.08%,0.03,-5.36%
0.80,8,-10%,60,12%,6.08%,0.03,-5.36%
0.80,8,-10%,45,12%,6.08%,0.03,-5.36%
0.75,8,-12%,15,12%,6.08%,0.03,-8.92%
0.70,6,-6%,40,15%,6.08%,0.07,-22.62%
0.80,10,-12%,60,12%,6.08%,0.03,-4.15%
0.80,10,-12%,50,12%,6.08%,0.03,-4.15%
0.70,3,-15%,40,20%,6.08%,0.11,-36.28%
0.85,10,-15%,60,25%,6.08%,0.03,-3.95%
0.80,5,-15%,60,20%,6.07%,0.03,-13.81%
0.85,10,-15%,45,35%,6.07%,0.03,-3.95%
0.60,3,-12%,40,15%,6.07%,0.15,-53.37%
0.80,3,-8%,20,35%,6.07%,0.03,-8.83%
0.80,4,-8%,15,15%,6.07%,0.03,-6.98%
0.85,3,-15%,50,35%,6.07%,0.03,-9.36%
0.80,8,-10%,20,20%,6.07%,0.03,-6.75%
0.80,6,-15%,45,12%,6.07%,0.03,-8.52%
0.80,6,-8%,20,12%,6.07%,0.03,-6.75%
0.60,5,-10%,60,25%,6.07%,0.14,-54.11%
0.85,5,-15%,20,35%,6.07%,0.02,-7.72%
0.85,5,-15%,20,20%,6.07%,0.02,-7.72%
0.85,5,-15%,20,30%,6.07%,0.02,-7.72%
0.85,5,-15%,20,25%,6.07%,0.02,-7.72%
0.80,4,-8%,60,25%,6.07%,0.03,-15.46%
0.80,10,-15%,40,12%,6.07%,0.02,-5.20%
0.80,8,-8%,50,12%,6.07%,0.02,-5.12%
0.80,8,-8%,45,12%,6.07%,0.02,-5.12%
0.80,8,-8%,40,12%,6.07%,0.02,-5.12%
0.80,8,-8%,60,12%,6.07%,0.02,-5.12%
0.80,4,-8%,15,30%,6.07%,0.03,-6.42%
0.80,4,-8%,15,20%,6.07%,0.03,-6.42%
0.80,4,-8%,15,25%,6.07%,0.03,-6.42%
0.80,10,-12%,50,15%,6.07%,0.02,-5.13%
0.80,10,-12%,60,15%,6.07%,0.02,-5.13%
0.75,6,-6%,20,15%,6.06%,0.03,-9.11%
0.65,10,-12%,45,15%,6.06%,0.10,-38.56%
0.75,8,-6%,40,15%,6.06%,0.03,-11.13%
0.75,8,-5%,60,25%,6.06%,0.03,-14.12%
0.80,2,-12%,45,20%,6.06%,0.05,-21.58%
0.80,6,-8%,15,15%,6.06%,0.02,-5.85%
0.80,6,-15%,60,20%,6.06%,0.03,-11.30%
0.70,3,-12%,15,25%,6.06%,0.10,-25.61%
0.75,8,-6%,20,15%,6.06%,0.03,-7.97%
0.85,5,-15%,50,30%,6.06%,0.02,-8.03%
0.85,3,-10%,40,35%,6.06%,0.02,-8.61%
0.80,10,-10%,50,15%,6.06%,0.02,-5.29%
0.80,10,-10%,60,15%,6.06%,0.02,-5.29%
0.80,6,-8%,15,20%,6.06%,0.02,-6.22%
0.70,8,-15%,40,12%,6.06%,0.06,-17.65%
0.80,8,-10%,20,15%,6.05%,0.02,-5.98%
0.80,8,-15%,20,20%,6.05%,0.02,-7.19%
0.80,10,-15%,40,15%,6.05%,0.02,-5.20%
0.75,8,-10%,15,12%,6.05%,0.03,-8.18%
0.80,8,-8%,40,20%,6.05%,0.02,-7.16%
0.80,5,-12%,45,12%,6.05%,0.03,-7.95%
0.70,2,-12%,40,15%,6.05%,0.12,-41.30%
0.80,10,-8%,20,20%,6.05%,0.02,-5.24%
0.65,10,-6%,60,20%,6.05%,0.09,-31.30%
0.75,4,-10%,15,20%,6.05%,0.05,-16.35%
0.60,2,-15%,20,20%,6.05%,0.17,-52.22%
0.75,6,-5%,45,15%,6.05%,0.03,-11.76%
0.60,4,-8%,50,25%,6.05%,0.14,-57.00%
0.80,8,-8%,20,15%,6.05%,0.02,-5.75%
0.80,2,-10%,60,15%,6.04%,0.04,-20.66%
0.80,2,-10%,50,15%,6.04%,0.04,-20.66%
0.85,5,-15%,20,12%,6.04%,0.01,-7.72%
0.85,5,-15%,20,15%,6.04%,0.01,-7.72%
0.80,3,-10%,20,35%,6.04%,0.03,-8.97%
0.70,4,-10%,60,25%,6.04%,0.09,-32.04%
0.80,10,-10%,50,12%,6.04%,0.01,-4.31%
0.80,10,-10%,60,12%,6.04%,0.01,-4.31%
0.80,10,-10%,45,12%,6.04%,0.01,-4.31%
0.75,10,-6%,60,12%,6.04%,0.02,-7.77%
0.75,10,-5%,30,25%,6.04%,0.02,-8.79%
0.80,8,-15%,20,15%,6.04%,0.01,-6.42%
0.80,6,-8%,15,12%,6.04%,0.01,-5.85%
0.80,4,-8%,15,12%,6.03%,0.02,-6.98%
0.85,6,-15%,20,30%,6.03%,0.01,-6.42%
0.85,6,-15%,20,35%,6.03%,0.01,-6.42%
0.85,6,-15%,20,20%,6.03%,0.01,-6.42%
0.85,6,-15%,20,25%,6.03%,0.01,-6.42%
0.80,8,-10%,20,12%,6.03%,0.01,-5.36%
0.85,8,-15%,50,12%,6.03%,0.01,-4.98%
0.85,8,-15%,45,12%,6.03%,0.01,-4.98%
0.85,8,-15%,60,15%,6.03%,0.01,-4.98%
0.85,8,-15%,45,15%,6.03%,0.01,-4.98%
0.85,8,-15%,50,15%,6.03%,0.01,-4.98%
0.85,8,-15%,60,12%,6.03%,0.01,-4.98%
0.85,3,-15%,60,30%,6.03%,0.02,-9.36%
0.75,10,-5%,60,30%,6.03%,0.03,-12.17%
0.80,10,-10%,20,20%,6.03%,0.01,-5.44%
0.80,4,-12%,15,35%,6.03%,0.02,-7.09%
0.80,8,-15%,45,12%,6.03%,0.01,-6.47%
0.80,10,-8%,45,12%,6.03%,0.01,-4.11%
0.80,10,-8%,60,12%,6.03%,0.01,-4.11%
0.80,10,-8%,50,12%,6.03%,0.01,-4.11%
0.80,10,-8%,40,12%,6.03%,0.01,-4.11%
0.80,8,-15%,60,20%,6.03%,0.01,-8.05%
0.75,10,-10%,15,12%,6.03%,0.02,-7.24%
0.85,6,-15%,50,30%,6.03%,0.01,-6.68%
0.80,5,-12%,60,12%,6.03%,0.02,-8.13%
0.80,5,-12%,50,12%,6.03%,0.02,-8.13%
0.80,5,-8%,15,25%,6.03%,0.01,-7.27%
0.80,5,-8%,15,30%,6.03%,0.01,-7.27%
0.80,3,-10%,45,20%,6.03%,0.03,-18.83%
0.80,6,-8%,45,20%,6.02%,0.02,-9.53%
0.80,8,-8%,20,12%,6.02%,0.01,-5.12%
0.65,5,-12%,45,12%,6.02%,0.12,-49.51%
0.80,4,-15%,40,12%,6.02%,0.02,-9.68%
0.65,6,-5%,45,25%,6.02%,0.11,-38.15%
0.80,10,-15%,20,20%,6.02%,0.00,-5.79%
0.75,6,-5%,60,25%,6.02%,0.03,-15.36%
0.80,10,-10%,20,15%,6.02%,0.00,-4.81%
0.75,5,-6%,60,12%,6.02%,0.03,-13.01%
0.80,10,-8%,40,20%,6.02%,0.00,-5.77%
0.60,4,-15%,50,15%,6.02%,0.14,-59.76%
0.80,8,-8%,15,15%,6.02%,0.00,-4.42%
0.75,5,-6%,45,15%,6.01%,0.03,-14.77%
0.75,6,-5%,50,12%,6.01%,0.03,-11.75%
0.70,6,-6%,30,15%,6.01%,0.06,-18.90%
0.85,6,-15%,20,12%,6.01%,-0.00,-6.42%
0.85,6,-15%,20,15%,6.01%,-0.00,-6.42%
0.65,6,-12%,45,15%,6.01%,0.11,-47.06%
0.60,2,-15%,45,25%,6.01%,0.19,-53.72%
0.80,8,-8%,15,20%,6.01%,0.00,-4.71%
0.60,2,-10%,15,30%,6.01%,0.17,-57.11%
0.80,10,-8%,20,15%,6.01%,-0.00,-4.62%
0.75,10,-12%,15,12%,6.01%,0.01,-7.26%
0.80,4,-15%,50,20%,6.01%,0.03,-15.49%
0.75,6,-6%,50,15%,6.01%,0.03,-13.45%
0.75,6,-6%,30,15%,6.01%,0.03,-10.98%
0.80,3,-15%,40,20%,6.01%,0.03,-18.38%
0.70,10,-5%,50,12%,6.01%,0.04,-12.55%
0.60,4,-10%,30,25%,6.01%,0.14,-40.17%
0.80,4,-8%,45,20%,6.01%,0.02,-15.46%
0.80,10,-15%,20,15%,6.01%,-0.00,-5.16%
0.80,5,-6%,30,30%,6.01%,0.01,-10.91%
0.80,5,-12%,15,35%,6.01%,0.01,-7.27%
0.60,2,-10%,60,12%,6.01%,0.16,-69.36%
0.80,10,-15%,60,20%,6.00%,0.00,-6.04%
0.80,10,-10%,20,12%,6.00%,-0.01,-4.31%
0.80,10,-15%,45,12%,6.00%,-0.00,-5.20%
0.75,6,-5%,30,15%,6.00%,0.03,-10.08%
0.80,5,-6%,50,30%,6.00%,0.01,-12.35%
0.85,3,-10%,20,20%,6.00%,0.00,-8.61%
0.85,3,-10%,20,12%,6.00%,0.00,-8.61%
0.85,3,-10%,20,30%,6.00%,0.00,-8.61%
0.85,3,-10%,20,35%,6.00%,0.00,-8.61%
0.85,3,-10%,20,25%,6.00%,0.00,-8.61%
0.85,3,-10%,20,15%,6.00%,0.00,-8.61%
0.85,10,-15%,60,15%,6.00%,-0.02,-3.95%
0.85,10,-15%,50,15%,6.00%,-0.02,-3.95%
0.85,10,-15%,50,12%,6.00%,-0.02,-3.95%
0.85,10,-15%,45,12%,6.00%,-0.02,-3.95%
0.85,10,-15%,45,15%,6.00%,-0.02,-3.95%
0.85,10,-15%,60,12%,6.00%,-0.02,-3.95%
0.80,8,-8%,15,12%,6.00%,-0.01,-4.42%
0.80,5,-15%,60,12%,6.00%,0.02,-10.12%
0.80,5,-15%,50,12%,6.00%,0.02,-10.12%
0.80,10,-8%,20,12%,5.99%,-0.01,-4.11%
0.70,2,-6%,50,30%,5.99%,0.11,-51.76%
0.75,10,-5%,60,12%,5.99%,0.01,-7.12%
0.80,5,-12%,50,15%,5.99%,0.02,-11.20%
0.80,5,-12%,60,15%,5.99%,0.02,-11.20%
0.80,8,-8%,45,20%,5.99%,0.00,-7.16%
0.85,8,-15%,20,20%,5.99%,-0.02,-4.79%
0.85,8,-15%,20,35%,5.99%,-0.02,-4.79%
0.85,8,-15%,20,30%,5.99%,-0.02,-4.79%
0.85,8,-15%,20,25%,5.99%,-0.02,-4.79%
0.85,8,-15%,50,30%,5.99%,-0.01,-4.98%
0.80,6,-15%,50,12%,5.99%,0.01,-8.52%
0.80,6,-15%,60,12%,5.99%,0.01,-8.52%
0.80,10,-8%,15,15%,5.99%,-0.02,-3.55%
0.70,3,-12%,30,20%,5.99%,0.10,-30.77%
0.75,5,-6%,20,15%,5.98%,0.03,-14.73%
0.75,6,-8%,15,12%,5.98%,0.02,-8.54%
0.80,5,-10%,15,15%,5.98%,0.00,-5.08%
0.80,10,-8%,15,20%,5.98%,-0.02,-3.78%
0.80,4,-6%,30,35%,5.98%,0.01,-12.87%
0.75,8,-6%,40,12%,5.98%,0.01,-8.08%
0.60,2,-10%,60,15%,5.98%,0.15,-63.63%
0.85,3,-12%,40,35%,5.98%,-0.00,-9.25%
0.80,4,-15%,40,15%,5.98%,0.02,-10.93%
0.65,2,-8%,30,30%,5.98%,0.15,-49.97%
0.85,8,-15%,20,12%,5.98%,-0.03,-4.79%
0.85,8,-15%,20,15%,5.98%,-0.03,-4.79%
0.85,3,-15%,60,25%,5.97%,0.01,-9.36%
0.80,5,-8%,50,15%,5.97%,0.01,-7.79%
0.80,5,-8%,45,15%,5.97%,0.01,-7.79%
0.80,5,-8%,60,15%,5.97%,0.01,-7.79%
0.65,4,-12%,60,25%,5.97%,0.13,-46.43%
0.80,10,-8%,15,12%,5.97%,-0.02,-3.55%
0.80,6,-15%,15,35%,5.97%,0.00,-8.01%
0.80,5,-6%,40,30%,5.97%,0.01,-12.35%
0.85,3,-15%,20,30%,5.97%,-0.01,-8.85%
0.85,3,-15%,20,15%,5.97%,-0.01,-8.85%
0.85,3,-15%,20,20%,5.97%,-0.01,-8.85%
0.85,3,-15%,20,35%,5.97%,-0.01,-8.85%
0.85,3,-15%,20,12%,5.97%,-0.01,-8.85%
0.85,3,-15%,20,25%,5.97%,-0.01,-8.85%
0.80,10,-8%,45,20%,5.97%,-0.01,-5.77%
0.75,10,-5%,20,12%,5.97%,0.00,-6.22%
0.80,8,-15%,60,12%,5.97%,-0.01,-6.47%
0.80,8,-15%,50,12%,5.97%,-0.01,-6.47%
0.60,3,-6%,60,25%,5.97%,0.13,-45.93%
0.85,10,-15%,20,35%,5.96%,-0.05,-3.80%
0.85,10,-15%,20,30%,5.96%,-0.05,-3.80%
0.85,10,-15%,20,25%,5.96%,-0.05,-3.80%
0.85,10,-15%,20,20%,5.96%,-0.05,-3.80%
0.85,3,-8%,20,12%,5.96%,-0.01,-7.96%
0.85,3,-8%,20,20%,5.96%,-0.01,-7.96%
0.85,3,-8%,20,15%,5.96%,-0.01,-7.96%
0.85,3,-8%,20,30%,5.96%,-0.01,-7.96%
0.85,3,-8%,20,35%,5.96%,-0.01,-7.96%
0.85,3,-8%,20,25%,5.96%,-0.01,-7.96%
0.70,3,-5%,15,25%,5.96%,0.08,-26.53%
0.85,10,-15%,50,30%,5.96%,-0.03,-3.95%
0.80,5,-10%,15,20%,5.96%,-0.00,-5.20%
0.80,5,-8%,60,20%,5.96%,0.01,-10.15%
0.75,5,-6%,40,15%,5.96%,0.03,-14.95%
0.80,3,-8%,30,12%,5.96%,0.01,-9.37%
0.80,5,-10%,15,12%,5.95%,-0.01,-5.08%
0.65,5,-15%,20,20%,5.95%,0.12,-50.71%
0.80,8,-15%,15,35%,5.95%,-0.02,-6.07%
0.80,6,-15%,20,12%,5.95%,-0.00,-8.46%
0.80,10,-15%,50,12%,5.95%,-0.02,-5.20%
0.80,10,-15%,60,12%,5.95%,-0.02,-5.20%
0.85,10,-15%,20,15%,5.95%,-0.06,-3.80%
0.85,10,-15%,20,12%,5.95%,-0.06,-3.80%
0.60,6,-8%,60,20%,5.95%,0.13,-47.65%
0.60,3,-6%,30,30%,5.95%,0.14,-33.09%
0.75,10,-6%,50,12%,5.95%,0.00,-7.77%
0.75,2,-6%,45,20%,5.95%,0.06,-23.40%
0.65,4,-8%,40,25%,5.95%,0.13,-33.84%
0.75,10,-6%,40,12%,5.95%,-0.00,-7.22%
0.80,6,-15%,45,15%,5.94%,0.00,-8.68%
0.60,2,-6%,20,25%,5.94%,0.16,-54.52%
0.80,5,-15%,45,15%,5.94%,0.01,-10.75%
0.75,6,-5%,40,12%,5.94%,0.01,-11.39%
0.75,8,-6%,50,25%,5.94%,0.01,-12.92%
0.80,6,-8%,50,20%,5.94%,-0.00,-9.53%
0.80,6,-6%,45,30%,5.94%,-0.00,-11.09%
0.80,10,-15%,15,35%,5.94%,-0.03,-4.88%
0.80,8,-15%,20,12%,5.94%,-0.02,-6.42%
0.80,6,-10%,15,35%,5.94%,-0.01,-8.29%
0.75,4,-5%,45,20%,5.94%,0.03,-14.28%
0.80,8,-15%,45,15%,5.94%,-0.01,-6.47%
0.80,3,-8%,15,15%,5.94%,0.00,-9.37%
0.60,2,-8%,15,30%,5.93%,0.16,-48.28%
0.80,5,-15%,15,15%,5.93%,-0.01,-4.71%
0.80,8,-8%,50,20%,5.93%,-0.02,-7.16%
0.70,10,-5%,20,12%,5.93%,0.03,-10.74%
0.80,10,-15%,45,15%,5.93%,-0.03,-5.20%
0.80,8,-6%,45,30%,5.93%,-0.02,-8.14%
0.80,8,-10%,15,35%,5.93%,-0.03,-6.28%
0.70,5,-8%,45,15%,5.93%,0.07,-22.06%
0.80,10,-15%,20,12%,5.93%,-0.04,-5.16%
0.75,5,-6%,30,12%,5.92%,0.02,-11.09%
0.85,3,-8%,45,30%,5.92%,-0.03,-7.96%
0.85,3,-8%,50,30%,5.92%,-0.03,-7.96%
0.85,3,-8%,60,30%,5.92%,-0.03,-7.96%
0.85,3,-8%,40,30%,5.92%,-0.03,-7.96%
0.75,5,-6%,50,12%,5.92%,0.02,-12.41%
0.60,5,-10%,40,20%,5.92%,0.13,-47.89%
0.75,8,-6%,60,12%,5.92%,0.00,-9.95%
0.65,3,-15%,60,35%,5.92%,0.14,-39.92%
0.75,3,-5%,20,12%,5.92%,0.03,-16.21%
0.85,3,-12%,20,12%,5.92%,-0.03,-9.25%
0.85,3,-12%,20,20%,5.92%,-0.03,-9.25%
0.85,3,-12%,20,30%,5.92%,-0.03,-9.25%
0.85,3,-12%,20,15%,5.92%,-0.03,-9.25%
0.85,3,-12%,20,35%,5.92%,-0.03,-9.25%
0.85,3,-12%,20,25%,5.92%,-0.03,-9.25%
0.80,4,-12%,20,30%,5.92%,-0.00,-8.29%
0.80,4,-12%,20,25%,5.92%,-0.00,-8.29%
